gene,UC signature,Mendiratta signature
A1CF,-0.0043286029303417,0.0
A2M,-0.0008811644371257447,0.0
A4GALT,5.552984420937847e-05,0.0
A4GNT,0.001381046585614876,0.0
AAAS,-0.004464658063928872,0.0
AACS,0.0014086514375537507,0.0
AADAC,-0.004131323587685436,0.0
AAGAB,0.0063941292011180035,0.0
AAK1,0.0018582150501587277,0.0
AAMP,-0.0007350387820079946,0.0
AANAT,0.0011450381235754092,0.0
AARS,0.0085659516121995,0.0
AARSD1,0.004961661236207312,0.0
AASDHPPT,0.004050796763558898,0.0
AASS,0.00045173035522809267,0.0
AATF,-0.0049709388465912835,0.0
AATK,0.005618456836075055,0.0
ABAT,0.018781141402108185,0.0
ABCA1,-0.0087210967137789,0.0
ABCA12,-0.015366974351117944,0.0
ABCA2,-0.0004501469263054455,0.0
ABCA3,-0.00044674686507949,0.0
ABCA4,0.0006991290343928602,0.0
ABCA5,-0.0037678503714149458,0.0
ABCA6,-0.0018776335173388034,0.0
ABCA7,0.0027338557839658253,0.0
ABCA8,-0.00010683003581961945,0.0
ABCB1,0.001027579366037945,0.0
ABCB11,-0.0010927578345121833,0.0
ABCB4,0.0041388042389189535,0.0
ABCB6,0.009756999460993555,0.0
ABCB7,-0.008623859420236022,0.0
ABCB8,0.004586104200832919,0.0
ABCB9,0.0014955284922129831,0.0
ABCC1,0.014194084438336599,0.037196
ABCC10,-0.0039499757423648455,0.0
ABCC2,0.0017699424952547398,0.0
ABCC3,-0.0008939711892720592,0.0
ABCC4,0.04118853550214713,0.1441
ABCC5,-0.00530903008151392,0.0
ABCC6,0.0037322851015780516,0.0
ABCC8,0.0009199754829040675,0.0
ABCC9,-0.001572817861562793,0.0
ABCD1,-0.0008694119008225926,0.0
ABCD2,-0.0005529617471185715,0.0
ABCD3,-0.012453641219004597,0.0
ABCD4,-0.0018790062449768033,0.0
ABCE1,0.006630106196220277,0.0
ABCF1,0.002605121954539318,0.0
ABCF2,0.0042755750683920145,0.0
ABCF3,0.005532925189478976,0.0
ABCG1,-0.015506635909033265,-0.042311
ABCG2,-0.019476681586151963,0.0
ABCG4,0.0044819207786517485,0.0
